,new_title,topic_idx
154,문 정부 4차산업혁명 밑그림 나왔다…사람중심 지능화경제종합,1
155,손흥민 선발로 73분 활약…리그 8호골은 다음에,0
156,북한 농업연구원 과수학연구소 준공식,1
157,추신수 클리블랜드전 3타수 무안타…시범경기 타율 0.211,0
158,그래픽 손흥민 아시안 최초 EPL 두자릿수 골,0
159,황희찬 83분 잘츠부르크 오스트리아 분데스리가 4연패 달성,0
160,관리의 힘 SK 김광현 5이닝 무실점 컨디션 괜찮아...,0
161,MLB 애틀랜타 9회 2사 후 극적인 뒤집기…18년 만의...,0
162,KBO리그 출신 테임즈 홈런 치고 2타점…강정호는 결장,0
163,프로농구 SK 챔프전 사상 최초로 2패 후 3연승 1승...,0
164,류현진 콜로라도 제물로 QS에 생애 첫 홈런까지종합,0
165,NBA 미네소타 로즈 두 경기 연속 맹활약…부활 예감,0
166,제임스 떠나고 러브 다치고…NBA 클리블랜드 개막 6연패 늪,0
167,총선 일주일 앞두고 귀국하는 박대통령…판세 변수될까,1
168,류현진 개인 두 번째 완봉승·NL 전구단 상대 승리,0
169,박석방결의안 추진 여진…탄핵 사과 먼저 vs 공방 무의미,1
170,북 인민군 판문점대표부 UFG연습 맹비난 백서 발표종합,1
171,위기에 만나는 두 라이벌…수원 vs 서울 올해 첫 슈퍼매치,0
172,월드컵 본선 48개국 확대…기회 증가 vs 질적 저하,0
173,일매체 임창용·이대호·김태균 2010년대 일최고의 외인선수,0
174,류중일 LG 감독 이형종 공을 무서워하지 않아,0
175,바른미래 국감이슈 통통통 시사토크로 정책소통,1
176,이인제 탄핵은 역사의 법정으로 미뤄놔야…TV토론,1
177,게시판 관훈클럽 경남지사 후보 초청 토론회,1
178,해결사 김선형의 결승 3점포…SK LG 상승세에 찬물,0
179,인사말하는 민병욱 이사장,1
180,획정위원장에 박영수 선관위 기조실장 사실상 내정,1
181,프로농구 현대모비스 인삼공사 꺾고 9연승 질주,0
182,프로축구 K리그 최종 811명 선수등록…팀당 평균 37명,0
183,박대통령측 세월호 행적 보완해 제출…특검발 의혹에 유감,1
184,주간 화제의 뉴스 북핵 대응·중 사드 경제 보복 등에 관심,1
185,그래픽 2018러시아월드컵 대표팀 예상 선발 라인업,0
186,입지 좁아지던 노수광 데뷔 첫 끝내기 홈런으로 반전,0
187,더민주 건보료 직장·지역 구분 없애고 소득기준 일원화,1
188,새보수당 서울시당 창당대회 참석한 오신환 지상욱,1
189,IMO·ITU 북 탄도미사일 발사 관련한 통보 없어종합,1
190,박대통령 네덜란드총리에 댓글…월드컵처럼 협력 꽃피우자,1
191,베이브 류스 류현진 고교 시절 홈런 1개…통산 타율 ...,0
192,펠리페·손현종 활약…KB손해보험 OK저축은행 완파 2연승,0
193,프로축구 수원 서정원 후임에 이임생 유력…26일 최종 계약,0
194,김성태 MB를 법정에 세우려는 정치보복…정치한풀이 정권,1
195,정의 윤소하 원내대표 합의 추대…임기 1년 연장,1
196,강정호 1천438일 만에 3루타…2경기 연속 타점,0
197,북러 교역액 지난해 대비 22% 감소…정세불안 영향,1
198,축구 꿈나무 키우자…군산 청소년클럽팀 이달 창단,0
199,과학대통령 박정희는 신화…정치적 후원자였을 뿐,1
200,평양정상회담 백화원 영빈관 도착한 문재인 대통령 내외,1
201,머리에 사구 NC 손시헌 의식 있어…2∼3일 입원 예정...,0
202,통일부 북 수해 완전복구 어려워…서둘러 마무리,1
203,문의장 일 잘하는 실력국회…개헌으로 촛불혁명 완성,1
204,한화 벌써 홈경기 11번 매진…5경기 연속,0
205,두산 김재환 6경기 연속 아치로 시즌 20홈런,0
206,북한 탁구대표팀 코리아오픈 참가차 입국,1
207,연장 2골 레스터 FA컵 32강 재경기서 더비카운티에...,0
208,여자축구 조소현 잉글랜드 진출 임박…맨유는 아냐종합,0
209,추미애 공수처법 만들어지길 바란다…검권한분산 국민 열망종합2보,1
210,36년만의 북 당대회 내일 개막…김정은 시대 공식 선언,1
211,PO 앞둔 우리카드현대캐피탈 아가메즈문성민 100 출격,0
212,프로축구 전북 진통 끝에 손준호 입단 확정…4년 계약,0
213,박대통령 국회가 법막고 어떻게 국민지지 호소하는가종합,1
214,커리 빠진 골든스테이트 듀랜트·쿡 앞세워 브루클린에 승리,0
215,북 미 김정은 제재반발…뉴욕 북미접촉 통로 완전차단1보,1
216,한국 남자배구 U21 세계선수권서 중국에 03 패배…...,0
217,종아리 부상 베일 유럽챔스리그 4강 못뛴다,0
218,박지수 WNBA 데뷔 후 최다득점…시카고전에서 7득점,0
219,일 한 번 내보자…여자축구 대표팀 지탱하는 베테랑의 힘,0
220,장정석 감독 이정후 중요할 때 해주니 더 예쁘다,0
221,국회 열리자 여야 전당대회 모드로…당권 쟁탈전 시동,1
222,홍준표 너무 나갔다… 한국당 남북합의 대응기조 갈등,1
223,아시안게임 라건아 효과 누린 남자농구 몽골 잡고 ...,0
224,발목 부상 KB 박지수 안도의 한숨…코트 복귀종합,0
225,신인 최다홈런 친 알론소 NL신인상 수상…만장일치는 실패...,0
226,정의용 북한 잘 다녀오겠습니다,1
227,아시안게임 이란전 끝낸 김학범호 회복훈련으로 우즈베크...,0
228,새로운보수당 서울시당 위원장에 김성동,1
229,조원우 감독 윤성빈 김광현 아닌 SK 타자들과 싸우는 것,0
230,긴급박대통령 임기내 헌법개정 완수…국민 여망 담은 개헌안 마련,1
231,김형오 국민 우습게 본 당 지도부와 윗선 때문에 참패,1
232,최지만 생애 첫 PS 보인다…MLB 탬파베이 2승만 더,0
233,유시민 검압수수색 심각한 오버…조국 법 위반 한개도 없어종합,1
234,박대통령 중 북핵 불용의지 실제 조치로 연결돼야,1
235,북한 더 많은 위성 발사할 것…10년 내에 달 탐사도종합,1
236,세인트루이스 33번 김광현 명문 구단 입단 영광·SK...,0
237,유럽 챔스 4강 이번주 결정…레알 미소 바르사 울상,0
238,평양정상회담 노동당 청사서 방명록 작성하는 문 대통령,1
239,프로농구 1순위 유력 변준형 변코비보다 변어빙이 될래요,0
240,북악산 산행하는 문 대통령,1
241,프로축구 인천 무고사 35라운드 MVP 영예,0
242,런던 축구장에서 열리는 MLB 라이벌전 양키스 vs 레드삭스,0
243,국무회의 참석한 박능후 보건복지부 장관,1
244,컴퓨터 배우는 북한 학생들,1
245,개헌 논의에서 중요한 것은 대통령제가 아니다,1
246,1천경기 출전 앞둔 부폰 지단처럼 박치기하고 은퇴,0
247,정부 격상 북조평통 첫 성명에 핵보유국 주장 궤변종합,1
248,6경기 무패 벤투 감독 우리는 옳은 방향으로 가고 있다,0
249,손흥민 올해 마지막 경기서 9호골 재도전,0
250,박원순 보편복지 확대에 중앙정부가 나서야,1
251,김연철 통일부장관 면담하는 윤상현 외교통일위원장,1
252,서로 격려하는 북한 여자 양궁 리커브 팀,0
253,나경복 펄펄 우리카드 한국전력 완파 2연패 탈출,0
254,정부 북핵실험 이후 민간 남북교류 신청 17건 보류,1
255,일본인 좌완 기쿠치 MLB 시범경기 데뷔전서 시속 153...,0
256,박지원 야 대선후보 단일화 내년 10∼11월 판단할 일,1
257,청정무수석 이정현 만나 단식중단 요청…박대통령 걱정,1
258,박대통령여야 3당대표 내일 오후 2시 북핵ㆍ민생 회담종합,1
259,그래픽 2018러시아월드컵 F조 한국 멕시코 전력분석,0
260,속보 문대통령여야대표 초당적 협력…소재·부품·산업경쟁력 강화,1
261,프로야구 시범경기 궂은 날씨로 고척 제외하고 모두 취소...,0
262,손흥민 이달의 선수 3파전…아궤로 벤테케가 최대 경쟁자,0
263,야 퇴진당론에 딜레마…당론 정했는데 해법 더 꼬여,1
264,청 은산분리 완화에 공약파기 아냐…진입규제 개선 이미 언급,1
265,대통령 개헌안 다음 지방선거와 대선 동시 실시속보,1
266,문대통령 북목선 경계못하고 국민께 제대로 못알려…철저 점검종합,1
267,리버풀전에서 찾은 손흥민 활용법…스피드 살린 공간 쇄도,0
268,여 예결소위 위원들 소소위에 여야 3당 간사만 참여해야,1
269,박대통령 태릉선수촌 방문…리우올림픽 대표단 격려,1
270,여 한국당 협상참여 압박 강온 전략…오늘 임시국회 소집요구,1
271,지동원 2분 아우크스 다음 시즌 잔류 가능성↑종합,0
272,삼성 장원삼 2군 첫 등판서 5이닝 5실점…직구 최고 140㎞,0
273,프로농구 챔피언전 5차전 경기 전에 세월호 희생자 추모 묵념,0
274,AG 남자축구 조추첨에 2개국 누락…조추첨 다시,0
275,허정무 차고 김병지 막는다…13일 북에 축구공 보내기 빅매치,0
276,넥센 2018시즌 좌석 입장료 동결…스카이박스는 인하,0
277,모리뉴 감독 17년 동안 선수영입에 1조6천억원 썼다,0
278,북한인권법·테러방지법 탄력받나…여야 논쟁 재점화,1
279,프로농구 DB 이르면 9일 정규리그 우승 확정,0
280,오지환·박해민 포함 아시안게임 예비 엔트리 109명 발...,0
281,프로농구 DB 사상 최초로 최저연봉팀 챔프전 우승 도전,0
282,북 무수단미사일 보완됐나…6번째 시도 만에 400㎞ 비행,1
283,국방부 북 고체연료 로켓 개발 추진단계…엄중히 인식,1
284,김정숙 여사 아이스하키 응원,1
285,천병혁의 야구세상 고요와 폭풍 류현진의 최대 무기는...,0
286,벤투호 20일 아시안컵 명단 23명 확정…막판 생존경쟁,0
287,박대통령 새 도약 위해 끊임없이 혁신 이뤄가야,1
288,한일외교장관 마드리드회담 불발 가능성…일정조율 어려워종합,1
289,호날두 2골 포르투갈 헝가리에 30 승리 4연승 행진,0
290,한화에 뒤집기 LG 류중일 감독 500승…NC 유영준 ...,0
291,구자철·지동원 선발 아우크스 호펜하임에 02 패배종합,0
292,이총리 김여정·김영남 등 북 고위급대표단과 오찬종합,1
293,북 박근혜 정부 3년…남북관계 최악의 지경 비난종합,1
294,민주 혁신기술 벤처기업 차등의결권 도입 적극 검토종합,1
295,손흥민 시즌 6호골 토트넘 유럽 챔스서 아포엘에 3...,0
296,안희정 급등·전인범 논란 악재 직면한 문…돌파카드 찾나종합,1
297,김학용 군 간부 전역자 절반 군인연금 못받아,1
298,3당체제 첫 본회의…여·국민의당 원샷법 공조체제,1
299,정부 북 플루토늄 생산 주장에 안보리 등 대응방안 협의종합,1
300,코트 위에서 하나된 남북 농구선수들…가슴엔 평화·번영종합,0
301,즐라탄 행선지 정한 듯…큰 소식 알려드리겠다,0
302,남북정상회담 1주년 기념 학술회의,1
303,류현진 콜로라도 제물로 QS에 생애 첫 홈런까지,0
304,지지자들과 출마 선언하는 신용한 전 대통령 직속 청년위원장,1
305,맨유 1천205억원에 그리즈만 영입 임박영국 언론,0
306,사이영상 디그롬 MLB 메츠와 5년 1천561억원에 ...,0
307,민주 당직자 대상 공공기관 수요조사 없었다,1
308,다저스 신인 포수 스미스 류현진과 호흡 무척 쉬웠다,0
309,꿀재미 4위 싸움…KB손보 한국전력에 풀세트 역전승,0
310,류중일 감독의 칭찬 오지환 수비에 안정감 생겼다,0
311,자유북한방송 대표 북 함경북·양강도 폭우로 인명피해,1
312,김정은 기상천외한 국가 최고지도자 자리 고안할 수도,1
313,1강 전북 무너뜨린 2골…인천 문선민 K리그1 2라운...,0
314,박대통령 TK 민심 달래기…전대 논란엔 정치해석 안타깝다,1
315,LG의 가을야구 불안요소로 떠오른 천적 두산,0
316,뉴올리언스 론도 신들린 21도움…골든스테이트에 19점차 대...,0
317,문대통령 국정지지도 53.8%…7주째 내림세 지속리얼미터,1
318,박대통령 고유의 전통 문화에 산업의 옷 입혀야,1
319,파다르보다 요스바니 원했던 현대캐피탈 재수 끝에 소원성취,0
320,정세균 국회다운 국민의 국회 만들겠다…때론 강경함 필요,1
321,LG 박용택 선발 제외…유강남 지명타자로 선발 출전,0
322,안방 팬 응원 받은 전북 트리오…고향에 온 기분,0
323,문대통령 러시아 가스·전기 남북한과 일본까지 공급될 수도속보,1
324,이승우 측 바르셀로나B 승격 가능성 살아 있다,0
325,김정은오늘 오후 북으로 돌아갈듯…블라디역서 오후 환송행사종합2보,1
326,정치개혁 제2소위 공직선거법 개정안 등 심의,1
327,이총리 소득주도성장 정책효과 기대만큼 속도 안나 아쉬워종합,1
328,4번타자 최지만 2타점 결승 2루타 작렬…2경기 연속 장타,0
329,박건우 삭발은 인제 그만 올해는 초반부터 잘할 겁니다,0
330,정부 국민헌법자문특위 운영경비 28억원 책정,1
331,문 대통령 허익범 특검에게,1
332,한일의원연맹 의원들과 환담하는 이낙연 총리,1
333,즐라탄 주급 EPL사상 최고액 5억4천만원,0
334,최룡해 이끄는 북대표단 사망한 카스트로에 조의,1
335,여의도서 검찰개혁 촛불집회 계속…공수처 설치하라,1
336,문대통령 추격형 경제 한계…새 가치 선도 창출해 산업화해야종합,1
337,여 총선 참패 원인 진단 위해 언론 상대 설문조사,1
338,이낙연 총리 김종호 감사원 사무총장에게 임명장,1
339,박기원 대한항공 감독 3강 체제 방심은 금물,0
340,한국전력 배구단 연고지 수원 잔류로 확정…3년 계약종합,0
341,월드컵 미국 매체 한국은 참가에 의의 두는 수준,0
342,배구밖에 모르는 비예나 체력 회복은 보강 운동으로,0
343,국민의당 박지원 원내대표 추대론 급부상…러닝메이트 김성식,1
344,문대통령 사람중심 경제로 포용성장 가능…여성역량 강화해야,1
345,박기원 대한항공 감독 통합우승 위해 남은 경기 총력전,0
346,미국 전국 중계 단골 류현진…1점대 평균자책점 위용 뽐내,0
347,이승엽야구장학재단 4월 8일 대구서 공식 출범,0
348,북한 김정은 당창건일 맞아 금수산궁전 참배,1
349,심장병 어린이돕기 희망농구 올스타 2018 5월 13일 개최,0
350,김태형 감독의 포수론 적보다 우리 투수 파악이 먼저,0
351,남북통일농구 나선 박혜진 진짜로 하나 된 느낌 받고 싶어요,0
352,프로농구 MVP 두경민 PO 바라보며 결혼식 날짜 바꿨습니다,0
353,봄 배구 공격득점 500점 박정아 오늘은 50점 주고...,0
354,문대통령 한중일 혁신 기반 성장으로 세계경제 주도해야,1
355,한화 이글스 연고지역 학교에 야구용품 지원,0
356,노경은 406일 만에 등판해 4⅓이닝 1실점…질롱 끝내기 승,0
357,듀랜트 26점 골든스테이트 밀워키 꺾고 선두 고수,0
358,이승우에 사인 요청 쇄도…이근호는 런웨이 불참,0
359,최지만 시즌 첫 3루타…종아리 통증으로 교체,0
360,작전의 승리 KB손해보험 가빈 앞세운 한국전력에 대역전승,0
361,울산 수원과 33 무승부로 ACL행…인천도 강원 꺾고 ...,0
362,화이트 시즌 최다 41점…프로농구 SK 2위 경쟁 안 끝...,0
363,말컹 멀티골 경남 대구에 극장골 허용…22 무승부종합,0
364,미 매체 류현진 양키스 홈런 폭탄에 무너졌다,0
365,제임스 버저비터…클리블랜드 토론토 상대 PO 9연승,0
366,쌍둥이 아빠 되는 LG 윌슨 트윈스 입단은 운명,0
367,국회서 의원실 관계자입법조사관 몸싸움으로 경찰 출동,1
368,단독 탈출 북한식당 종업원 3명 국내 입국2보,1
369,정진석 내일 4선 이상 중진들과 비대위·혁신위 인선 논의,1
370,그래픽 남북정상회담 오전 주요 일정,1
371,비예나 29점 대한항공 삼성화재에 32 승리…4연승...,0
372,어나이 톰시아에 판정승…IBK기업은행 흥국생명 완파종합,0
373,쿠어스필드 극복한 류현진 사이영상 투표 1위도 탈환,0
374,대회의실에서 열린 수석보좌관회의,1
375,김연철 통일부장관과 악수하는 윤상현 외교통일위원장,1
376,팬이 뽑은 농구 스타는 누구…KBL 올스타전 팬 투표 실시,0
377,민주·한국 행안위 소위서 충돌…법따라 소집 날치기 진행,1
378,보수야당에도 열린 협치내각 카드…문대통령 개각폭 넓힐까,1
379,조배숙 평화 한걸음 진전…문재인 정부 한 일 중 가장 잘한 일,1
380,KBS사장 과방위 불출석 성명서 발표하는 한국당 위원들,1
381,귀환하는 남북통일농구 대표단,0
382,미국 언론 역사적인 5월 보낸 류현진 야구의 한류,0
383,남북 6·15 공동행사 가능성…23∼26일 평양서 논의 추진,1
384,알사드 AFC챔피언스리그 4강 진출…정우영 풀타임,0
385,문성민 헌신 전광인 적응…현대캐피탈 살린 날개 공격수,0
386,이재오 탈당계 제출…내일 오후 3시 무소속 출마 회견,1
387,청 문대통령 리비아 납치 첫날 구출에 최선 다하라 지시,1
388,K리그 하나 남은 전북 진화한 철옹성 김민재 덕에 웃는다,0
389,부활 시동 컵스 다르빗슈 시범경기 2이닝 3K 무실점,0
390,우원식 원희룡 제주지사 면담,1
391,박지원 박대통령 구조조정 정부TF서 좋은 안 도출하겠다 해속보,1
392,헤인즈 공백 메운 메이스…역대 PO 외국인 선수 대타 사례는,0
393,김우중 전 회장 빈소에 놓인 문재인 대통령 조화,1
394,ML 크리스 데이비스 57타석 연속 무안타…역대 타이기록,0
395,한국당 협상 물 건너갔다…패스트트랙 강경투쟁론 가열종합,1
396,김연경의 엑자시바시 여자배구 클럽챔피언십서 준우승,0
397,북 통전부장에 김영철…남북 강대강 대치 장기화 가능성,1
398,박대통령 북핵 갈수록 악화 주변국에 확실히 알려야종합,1
399,호나우지뉴 축구계 복귀할 수도…단 훈련 없어야,0
400,박대통령 핵탄두 발언 김정은 겨냥 핵무기 망상 버려야종합,1
